territory,price_point_id
MAC,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJNQUMiLCJwIjoiMTAwMTAifQ
MRT,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJNUlQiLCJwIjoiMTAwMTAifQ
MSR,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJNU1IiLCJwIjoiMTAwMTAifQ
MLT,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJNTFQiLCJwIjoiMTAwMTAifQ
MUS,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJNVVMiLCJwIjoiMTAwMTAifQ
MDV,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJNRFYiLCJwIjoiMTAwMTAifQ
MWI,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJNV0kiLCJwIjoiMTAwMTAifQ
MEX,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJNRVgiLCJwIjoiMTAwMTAifQ
MYS,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJNWVMiLCJwIjoiMTAwMTAifQ
MOZ,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJNT1oiLCJwIjoiMTAwMTAifQ
NAM,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJOQU0iLCJwIjoiMTAwMTAifQ
NER,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJORVIiLCJwIjoiMTAwMTAifQ
NGA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJOR0EiLCJwIjoiMTAwMTAifQ
NIC,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJOSUMiLCJwIjoiMTAwMTAifQ
NLD,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJOTEQiLCJwIjoiMTAwMTAifQ
NOR,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJOT1IiLCJwIjoiMTAwMTAifQ
NPL,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJOUEwiLCJwIjoiMTAwMTAifQ
NRU,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJOUlUiLCJwIjoiMTAwMTAifQ
NZL,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJOWkwiLCJwIjoiMTAwMTAifQ
OMN,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJPTU4iLCJwIjoiMTAwMTAifQ
PAN,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJQQU4iLCJwIjoiMTAwMTAifQ
PER,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJQRVIiLCJwIjoiMTAwMTAifQ
PNG,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJQTkciLCJwIjoiMTAwMTAifQ
PHL,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJQSEwiLCJwIjoiMTAwMTAifQ
PAK,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJQQUsiLCJwIjoiMTAwMTAifQ
POL,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJQT0wiLCJwIjoiMTAwMTAifQ
PRT,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJQUlQiLCJwIjoiMTAwMTAifQ
PLW,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJQTFciLCJwIjoiMTAwMTAifQ
PRY,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJQUlkiLCJwIjoiMTAwMTAifQ
QAT,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJRQVQiLCJwIjoiMTAwMTAifQ
ROU,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJST1UiLCJwIjoiMTAwMTAifQ
SRB,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJTUkIiLCJwIjoiMTAwMTAifQ
RUS,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJSVVMiLCJwIjoiMTAwMTAifQ
RWA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJSV0EiLCJwIjoiMTAwMTAifQ
SAU,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJTQVUiLCJwIjoiMTAwMTAifQ
SLB,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJTTEIiLCJwIjoiMTAwMTAifQ
SYC,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJTWUMiLCJwIjoiMTAwMTAifQ
SWE,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJTV0UiLCJwIjoiMTAwMTAifQ
SGP,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJTR1AiLCJwIjoiMTAwMTAifQ
SVN,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJTVk4iLCJwIjoiMTAwMTAifQ
SVK,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJTVksiLCJwIjoiMTAwMTAifQ
SLE,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJTTEUiLCJwIjoiMTAwMTAifQ
SEN,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJTRU4iLCJwIjoiMTAwMTAifQ
SUR,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJTVVIiLCJwIjoiMTAwMTAifQ
STP,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJTVFAiLCJwIjoiMTAwMTAifQ
SLV,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJTTFYiLCJwIjoiMTAwMTAifQ
SWZ,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJTV1oiLCJwIjoiMTAwMTAifQ
TCA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJUQ0EiLCJwIjoiMTAwMTAifQ
TCD,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJUQ0QiLCJwIjoiMTAwMTAifQ
THA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJUSEEiLCJwIjoiMTAwMTAifQ
TJK,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJUSksiLCJwIjoiMTAwMTAifQ
TKM,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJUS00iLCJwIjoiMTAwMTAifQ
TUN,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJUVU4iLCJwIjoiMTAwMTAifQ
TON,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJUT04iLCJwIjoiMTAwMTAifQ
TUR,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJUVVIiLCJwIjoiMTAwMTAifQ
TTO,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJUVE8iLCJwIjoiMTAwMTAifQ
TWN,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJUV04iLCJwIjoiMTAwMTAifQ
TZA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJUWkEiLCJwIjoiMTAwMTAifQ
UKR,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJVS1IiLCJwIjoiMTAwMTAifQ
UGA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJVR0EiLCJwIjoiMTAwMTAifQ
USA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJVU0EiLCJwIjoiMTAwMTAifQ
URY,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJVUlkiLCJwIjoiMTAwMTAifQ
UZB,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJVWkIiLCJwIjoiMTAwMTAifQ
VCT,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJWQ1QiLCJwIjoiMTAwMTAifQ
VEN,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJWRU4iLCJwIjoiMTAwMTAifQ
VGB,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJWR0IiLCJwIjoiMTAwMTAifQ
VNM,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJWTk0iLCJwIjoiMTAwMTAifQ
VUT,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJWVVQiLCJwIjoiMTAwMTAifQ
YEM,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJZRU0iLCJwIjoiMTAwMTAifQ
ZAF,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJaQUYiLCJwIjoiMTAwMTAifQ
ZMB,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJaTUIiLCJwIjoiMTAwMTAifQ
ZWE,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJaV0UiLCJwIjoiMTAwMTAifQ
XKS,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJYS1MiLCJwIjoiMTAwMTAifQ
